account_id,classification,n_matches,overall_win_rate,changepoints,shift_details,flagged_at
251137268,class2_3_candidate_upward_shift,397,0.484,"[45, 145]","[{'match_index': 45, 'win_rate_before': 0.325, 'win_rate_after': 0.75, 'shift': 0.425}, {'match_index': 145, 'win_rate_before': 0.775, 'win_rate_after': 0.375, 'shift': -0.4}]",2026-07-13T22:08:59.199489+00:00
314554951,class4_candidate_downward_shift,1317,0.515,[415],"[{'match_index': 415, 'win_rate_before': 0.625, 'win_rate_after': 0.35, 'shift': -0.275}]",2026-07-13T22:08:59.994940+00:00
111361153,class5_candidate_persistent_underperformance,373,0.442,[],[],2026-07-13T22:09:00.092121+00:00
463381936,class2_3_candidate_upward_shift,1161,0.444,[80],"[{'match_index': 80, 'win_rate_before': 0.225, 'win_rate_after': 0.525, 'shift': 0.3}]",2026-07-13T22:09:02.732704+00:00
254020225,class4_candidate_downward_shift,3327,0.487,"[530, 780, 2855, 2940]","[{'match_index': 530, 'win_rate_before': 0.65, 'win_rate_after': 0.35, 'shift': -0.3}, {'match_index': 780, 'win_rate_before': 0.175, 'win_rate_after': 0.575, 'shift': 0.4}, {'match_index': 2855, 'win_rate_before': 0.35, 'win_rate_after': 0.775, 'shift': 0.425}, {'match_index': 2940, 'win_rate_before': 0.8, 'win_rate_after': 0.425, 'shift': -0.375}]",2026-07-13T22:12:14.166287+00:00
211912823,class4_candidate_downward_shift,3707,0.517,"[2610, 3660]","[{'match_index': 2610, 'win_rate_before': 0.55, 'win_rate_after': 0.4, 'shift': -0.15}, {'match_index': 3660, 'win_rate_before': 0.3, 'win_rate_after': 0.85, 'shift': 0.55}]",2026-07-13T22:15:43.156483+00:00
272074928,class2_3_candidate_upward_shift,1959,0.527,"[180, 430]","[{'match_index': 180, 'win_rate_before': 0.35, 'win_rate_after': 0.775, 'shift': 0.425}, {'match_index': 430, 'win_rate_before': 0.675, 'win_rate_after': 0.425, 'shift': -0.25}]",2026-07-13T22:15:45.195070+00:00
1006895960,class5_candidate_persistent_underperformance,525,0.45,[],[],2026-07-13T22:16:28.177176+00:00
276433662,class2_3_candidate_upward_shift,2814,0.486,"[2505, 2570]","[{'match_index': 2505, 'win_rate_before': 0.4, 'win_rate_after': 0.875, 'shift': 0.475}, {'match_index': 2570, 'win_rate_before': 0.9, 'win_rate_after': 0.375, 'shift': -0.525}]",2026-07-13T22:20:27.608802+00:00
410273118,class4_candidate_downward_shift,324,0.444,[145],"[{'match_index': 145, 'win_rate_before': 0.65, 'win_rate_after': 0.375, 'shift': -0.275}]",2026-07-13T22:20:27.640725+00:00
187778250,class2_3_candidate_upward_shift,1636,0.498,"[985, 1030]","[{'match_index': 985, 'win_rate_before': 0.5, 'win_rate_after': 0.925, 'shift': 0.425}, {'match_index': 1030, 'win_rate_before': 0.9, 'win_rate_after': 0.525, 'shift': -0.375}]",2026-07-13T22:23:36.249094+00:00
1003619544,class5_candidate_persistent_underperformance,119,0.37,[],[],2026-07-13T22:23:36.249094+00:00
347144837,class4_candidate_downward_shift,3487,0.512,[390],"[{'match_index': 390, 'win_rate_before': 0.7, 'win_rate_after': 0.4, 'shift': -0.3}]",2026-07-13T22:24:56.269292+00:00
207193774,class4_candidate_downward_shift,2103,0.524,[115],"[{'match_index': 115, 'win_rate_before': 0.8, 'win_rate_after': 0.5, 'shift': -0.3}]",2026-07-13T22:25:25.190660+00:00
250176432,class4_candidate_downward_shift,1308,0.519,[485],"[{'match_index': 485, 'win_rate_before': 0.675, 'win_rate_after': 0.425, 'shift': -0.25}]",2026-07-13T22:36:11.146137+00:00
414943343,class2_3_candidate_upward_shift,561,0.444,[55],"[{'match_index': 55, 'win_rate_before': 0.175, 'win_rate_after': 0.5, 'shift': 0.325}]",2026-07-13T22:37:11.595947+00:00
170436793,class4_candidate_downward_shift,1391,0.501,[1160],"[{'match_index': 1160, 'win_rate_before': 0.575, 'win_rate_after': 0.325, 'shift': -0.25}]",2026-07-13T22:37:57.629656+00:00
879902734,class4_candidate_downward_shift,4142,0.497,[190],"[{'match_index': 190, 'win_rate_before': 0.6, 'win_rate_after': 0.3, 'shift': -0.3}]",2026-07-13T22:38:29.080274+00:00
195857929,class2_3_candidate_upward_shift,2052,0.47,[985],"[{'match_index': 985, 'win_rate_before': 0.325, 'win_rate_after': 0.575, 'shift': 0.25}]",2026-07-13T22:39:19.231815+00:00
311329644,class2_3_candidate_upward_shift,1895,0.563,"[735, 935, 1260]","[{'match_index': 735, 'win_rate_before': 0.425, 'win_rate_after': 0.7, 'shift': 0.275}, {'match_index': 935, 'win_rate_before': 0.75, 'win_rate_after': 0.4, 'shift': -0.35}, {'match_index': 1260, 'win_rate_before': 0.35, 'win_rate_after': 0.675, 'shift': 0.325}]",2026-07-13T22:39:50.842173+00:00
433677493,class4_candidate_downward_shift,3731,0.528,[1700],"[{'match_index': 1700, 'win_rate_before': 0.75, 'win_rate_after': 0.4, 'shift': -0.35}]",2026-07-13T22:41:15.985384+00:00
329630345,class4_candidate_downward_shift,595,0.531,[365],"[{'match_index': 365, 'win_rate_before': 0.6, 'win_rate_after': 0.4, 'shift': -0.2}]",2026-07-13T22:44:25.645389+00:00
856588422,class5_candidate_persistent_underperformance,173,0.434,[],[],2026-07-13T22:46:46.065377+00:00
366870687,class4_candidate_downward_shift,3291,0.527,[170],"[{'match_index': 170, 'win_rate_before': 0.775, 'win_rate_after': 0.575, 'shift': -0.2}]",2026-07-13T22:47:37.717164+00:00
162915324,class5_candidate_persistent_underperformance,406,0.411,[],[],2026-07-13T22:49:36.995241+00:00
137102008,class2_3_candidate_upward_shift,1443,0.473,"[265, 1195]","[{'match_index': 265, 'win_rate_before': 0.3, 'win_rate_after': 0.55, 'shift': 0.25}, {'match_index': 1195, 'win_rate_before': 0.6, 'win_rate_after': 0.325, 'shift': -0.275}]",2026-07-13T22:50:11.052814+00:00
227936625,class2_3_candidate_upward_shift,3570,0.51,[3455],"[{'match_index': 3455, 'win_rate_before': 0.375, 'win_rate_after': 0.725, 'shift': 0.35}]",2026-07-13T22:50:18.897065+00:00
365856546,class5_candidate_persistent_underperformance,218,0.417,[],[],2026-07-13T22:50:19.486417+00:00
339968448,class5_candidate_persistent_underperformance,377,0.424,[],[],2026-07-13T22:50:19.551157+00:00
191106234,class4_candidate_downward_shift,403,0.516,[175],"[{'match_index': 175, 'win_rate_before': 0.675, 'win_rate_after': 0.4, 'shift': -0.275}]",2026-07-13T22:50:41.788883+00:00
206048051,class2_3_candidate_upward_shift,566,0.627,"[60, 305]","[{'match_index': 60, 'win_rate_before': 0.575, 'win_rate_after': 0.875, 'shift': 0.3}, {'match_index': 305, 'win_rate_before': 0.775, 'win_rate_after': 0.525, 'shift': -0.25}]",2026-07-13T22:51:37.191215+00:00
110890934,class5_candidate_persistent_underperformance,152,0.421,[],[],2026-07-13T22:51:39.369144+00:00
82545259,class2_3_candidate_upward_shift,12260,0.498,"[5610, 5750]","[{'match_index': 5610, 'win_rate_before': 0.4, 'win_rate_after': 0.75, 'shift': 0.35}, {'match_index': 5750, 'win_rate_before': 0.725, 'win_rate_after': 0.5, 'shift': -0.225}]",2026-07-13T22:54:19.071064+00:00
111650730,class2_3_candidate_upward_shift,1437,0.503,[1320],"[{'match_index': 1320, 'win_rate_before': 0.45, 'win_rate_after': 0.675, 'shift': 0.225}]",2026-07-13T22:54:29.002616+00:00
139464082,class2_3_candidate_upward_shift,4108,0.514,"[2610, 2720]","[{'match_index': 2610, 'win_rate_before': 0.475, 'win_rate_after': 0.825, 'shift': 0.35}, {'match_index': 2720, 'win_rate_before': 0.75, 'win_rate_after': 0.4, 'shift': -0.35}]",2026-07-13T22:55:34.060361+00:00
129633717,class2_3_candidate_upward_shift,2179,0.488,[1850],"[{'match_index': 1850, 'win_rate_before': 0.35, 'win_rate_after': 0.725, 'shift': 0.375}]",2026-07-13T22:55:36.121211+00:00
115133168,class2_3_candidate_upward_shift,7900,0.491,[75],"[{'match_index': 75, 'win_rate_before': 0.225, 'win_rate_after': 0.6, 'shift': 0.375}]",2026-07-13T22:58:16.675463+00:00
312413010,class2_3_candidate_upward_shift,6496,0.5,"[3260, 3305, 4655, 4840]","[{'match_index': 3260, 'win_rate_before': 0.375, 'win_rate_after': 0.925, 'shift': 0.55}, {'match_index': 3305, 'win_rate_before': 0.9, 'win_rate_after': 0.225, 'shift': -0.675}, {'match_index': 4655, 'win_rate_before': 0.5, 'win_rate_after': 0.725, 'shift': 0.225}, {'match_index': 4840, 'win_rate_before': 0.875, 'win_rate_after': 0.35, 'shift': -0.525}]",2026-07-13T23:00:38.413046+00:00
136184411,class5_candidate_persistent_underperformance,517,0.445,[],[],2026-07-13T23:01:23.267778+00:00
153297512,class4_candidate_downward_shift,5049,0.521,[920],"[{'match_index': 920, 'win_rate_before': 0.6, 'win_rate_after': 0.5, 'shift': -0.1}]",2026-07-13T23:01:37.622893+00:00
386402591,class5_candidate_persistent_underperformance,470,0.445,[],[],2026-07-13T23:01:37.791427+00:00
434438184,class4_candidate_downward_shift,2385,0.526,[570],"[{'match_index': 570, 'win_rate_before': 0.575, 'win_rate_after': 0.45, 'shift': -0.125}]",2026-07-13T23:02:42.726805+00:00
371876003,class4_candidate_downward_shift,3149,0.574,[1045],"[{'match_index': 1045, 'win_rate_before': 0.7, 'win_rate_after': 0.4, 'shift': -0.3}]",2026-07-13T23:03:21.437337+00:00
147555369,class4_candidate_downward_shift,5198,0.511,[1045],"[{'match_index': 1045, 'win_rate_before': 0.7, 'win_rate_after': 0.375, 'shift': -0.325}]",2026-07-13T23:04:11.018877+00:00
991626292,class2_3_candidate_upward_shift,4166,0.505,"[685, 810]","[{'match_index': 685, 'win_rate_before': 0.5, 'win_rate_after': 0.85, 'shift': 0.35}, {'match_index': 810, 'win_rate_before': 0.85, 'win_rate_after': 0.475, 'shift': -0.375}]",2026-07-13T23:04:18.762229+00:00
395242493,class2_3_candidate_upward_shift,1949,0.493,"[225, 375]","[{'match_index': 225, 'win_rate_before': 0.475, 'win_rate_after': 0.7, 'shift': 0.225}, {'match_index': 375, 'win_rate_before': 0.775, 'win_rate_after': 0.4, 'shift': -0.375}]",2026-07-13T23:04:46.430694+00:00
294802107,class2_3_candidate_upward_shift,938,0.534,[805],"[{'match_index': 805, 'win_rate_before': 0.45, 'win_rate_after': 0.875, 'shift': 0.425}]",2026-07-13T23:04:58.778701+00:00
225960389,class4_candidate_downward_shift,1334,0.524,[610],"[{'match_index': 610, 'win_rate_before': 0.65, 'win_rate_after': 0.45, 'shift': -0.2}]",2026-07-13T23:08:01.775865+00:00
295404059,class2_3_candidate_upward_shift,1504,0.521,[1315],"[{'match_index': 1315, 'win_rate_before': 0.575, 'win_rate_after': 0.7, 'shift': 0.125}]",2026-07-13T23:08:04.195291+00:00
390940758,class2_3_candidate_upward_shift,450,0.64,[190],"[{'match_index': 190, 'win_rate_before': 0.525, 'win_rate_after': 0.775, 'shift': 0.25}]",2026-07-13T23:08:30.964968+00:00
160248123,class2_3_candidate_upward_shift,937,0.502,"[165, 425]","[{'match_index': 165, 'win_rate_before': 0.425, 'win_rate_after': 0.625, 'shift': 0.2}, {'match_index': 425, 'win_rate_before': 0.75, 'win_rate_after': 0.425, 'shift': -0.325}]",2026-07-13T23:08:32.505379+00:00
1186693478,class5_candidate_persistent_underperformance,158,0.424,[],[],2026-07-13T23:08:32.505379+00:00
150987164,class4_candidate_downward_shift,8725,0.502,[1450],"[{'match_index': 1450, 'win_rate_before': 0.65, 'win_rate_after': 0.5, 'shift': -0.15}]",2026-07-13T23:11:25.353909+00:00
248759973,class4_candidate_downward_shift,2794,0.534,[425],"[{'match_index': 425, 'win_rate_before': 0.7, 'win_rate_after': 0.425, 'shift': -0.275}]",2026-07-13T23:12:42.963453+00:00
139657489,class4_candidate_downward_shift,2903,0.524,[725],"[{'match_index': 725, 'win_rate_before': 0.7, 'win_rate_after': 0.475, 'shift': -0.225}]",2026-07-13T23:14:32.022667+00:00
39085293,class4_candidate_downward_shift,3927,0.494,[260],"[{'match_index': 260, 'win_rate_before': 0.7, 'win_rate_after': 0.375, 'shift': -0.325}]",2026-07-13T23:15:12.581881+00:00
446736680,class4_candidate_downward_shift,1908,0.505,[635],"[{'match_index': 635, 'win_rate_before': 0.675, 'win_rate_after': 0.375, 'shift': -0.3}]",2026-07-13T23:15:36.860821+00:00
330394042,class2_3_candidate_upward_shift,2319,0.502,"[700, 1020, 1275]","[{'match_index': 700, 'win_rate_before': 0.425, 'win_rate_after': 0.75, 'shift': 0.325}, {'match_index': 1020, 'win_rate_before': 0.775, 'win_rate_after': 0.25, 'shift': -0.525}, {'match_index': 1275, 'win_rate_before': 0.225, 'win_rate_after': 0.55, 'shift': 0.325}]",2026-07-13T23:16:05.882059+00:00
1066372849,class5_candidate_persistent_underperformance,166,0.446,[],[],2026-07-13T23:17:13.330429+00:00
871762950,class4_candidate_downward_shift,1584,0.521,"[475, 885, 975, 1425, 1465]","[{'match_index': 475, 'win_rate_before': 0.825, 'win_rate_after': 0.4, 'shift': -0.425}, {'match_index': 885, 'win_rate_before': 0.425, 'win_rate_after': 0.9, 'shift': 0.475}, {'match_index': 975, 'win_rate_before': 0.75, 'win_rate_after': 0.3, 'shift': -0.45}, {'match_index': 1425, 'win_rate_before': 0.5, 'win_rate_after': 0.975, 'shift': 0.475}, {'match_index': 1465, 'win_rate_before': 0.975, 'win_rate_after': 0.45, 'shift': -0.525}]",2026-07-13T23:19:15.040637+00:00
139822084,class5_candidate_persistent_underperformance,425,0.442,[],[],2026-07-13T23:19:15.120778+00:00
15559033,class5_candidate_persistent_underperformance,1460,0.443,[],[],2026-07-13T23:22:12.325726+00:00
138398108,class2_3_candidate_upward_shift,1605,0.515,[1480],"[{'match_index': 1480, 'win_rate_before': 0.45, 'win_rate_after': 0.675, 'shift': 0.225}]",2026-07-13T23:22:27.384167+00:00
192644768,class2_3_candidate_upward_shift,105,0.476,[50],"[{'match_index': 50, 'win_rate_before': 0.375, 'win_rate_after': 0.65, 'shift': 0.275}]",2026-07-13T23:23:09.888911+00:00
918944105,class4_candidate_downward_shift,90,0.533,[50],"[{'match_index': 50, 'win_rate_before': 0.675, 'win_rate_after': 0.325, 'shift': -0.35}]",2026-07-13T23:23:14.154109+00:00
330762311,class5_candidate_persistent_underperformance,234,0.406,[],[],2026-07-13T23:24:55.459124+00:00
193235135,class4_candidate_downward_shift,1547,0.513,"[1130, 1170, 1505]","[{'match_index': 1130, 'win_rate_before': 0.4, 'win_rate_after': 0.15, 'shift': -0.25}, {'match_index': 1170, 'win_rate_before': 0.15, 'win_rate_after': 0.6, 'shift': 0.45}, {'match_index': 1505, 'win_rate_before': 0.725, 'win_rate_after': 0.275, 'shift': -0.45}]",2026-07-13T23:26:14.538993+00:00
137890013,class2_3_candidate_upward_shift,664,0.524,[595],"[{'match_index': 595, 'win_rate_before': 0.475, 'win_rate_after': 0.975, 'shift': 0.5}]",2026-07-13T23:26:16.955268+00:00
92883071,class5_candidate_persistent_underperformance,400,0.417,[],[],2026-07-13T23:26:40.058695+00:00
986908842,class2_3_candidate_upward_shift,372,0.487,[225],"[{'match_index': 225, 'win_rate_before': 0.35, 'win_rate_after': 0.8, 'shift': 0.45}]",2026-07-13T23:26:40.090645+00:00
391742253,class4_candidate_downward_shift,670,0.522,"[240, 370]","[{'match_index': 240, 'win_rate_before': 0.625, 'win_rate_after': 0.35, 'shift': -0.275}, {'match_index': 370, 'win_rate_before': 0.375, 'win_rate_after': 0.65, 'shift': 0.275}]",2026-07-13T23:27:47.521308+00:00
227853722,class2_3_candidate_upward_shift,386,0.51,"[295, 335]","[{'match_index': 295, 'win_rate_before': 0.45, 'win_rate_after': 0.9, 'shift': 0.45}, {'match_index': 335, 'win_rate_before': 0.9, 'win_rate_after': 0.425, 'shift': -0.475}]",2026-07-13T23:28:05.067186+00:00
140903666,class2_3_candidate_upward_shift,2580,0.509,[2040],"[{'match_index': 2040, 'win_rate_before': 0.4, 'win_rate_after': 0.675, 'shift': 0.275}]",2026-07-13T23:28:38.292140+00:00
191646180,class2_3_candidate_upward_shift,1144,0.517,"[115, 1045]","[{'match_index': 115, 'win_rate_before': 0.125, 'win_rate_after': 0.7, 'shift': 0.575}, {'match_index': 1045, 'win_rate_before': 0.675, 'win_rate_after': 0.375, 'shift': -0.3}]",2026-07-13T23:32:53.187621+00:00
185732067,class4_candidate_downward_shift,1078,0.507,[585],"[{'match_index': 585, 'win_rate_before': 0.675, 'win_rate_after': 0.3, 'shift': -0.375}]",2026-07-13T23:33:13.138724+00:00
166243346,class4_candidate_downward_shift,365,0.504,"[215, 275]","[{'match_index': 215, 'win_rate_before': 0.5, 'win_rate_after': 0.2, 'shift': -0.3}, {'match_index': 275, 'win_rate_before': 0.275, 'win_rate_after': 0.6, 'shift': 0.325}]",2026-07-13T23:33:26.193602+00:00
147983404,class5_candidate_persistent_underperformance,578,0.45,[],[],2026-07-13T23:33:26.352099+00:00
190572905,class4_candidate_downward_shift,1068,0.505,[305],"[{'match_index': 305, 'win_rate_before': 0.6, 'win_rate_after': 0.4, 'shift': -0.2}]",2026-07-13T23:33:48.533693+00:00
1419728405,class2_3_candidate_upward_shift,552,0.663,[130],"[{'match_index': 130, 'win_rate_before': 0.5, 'win_rate_after': 0.85, 'shift': 0.35}]",2026-07-13T23:35:54.244799+00:00
332327448,class2_3_candidate_upward_shift,992,0.54,[350],"[{'match_index': 350, 'win_rate_before': 0.3, 'win_rate_after': 0.675, 'shift': 0.375}]",2026-07-13T23:35:56.566096+00:00
255296465,class4_candidate_downward_shift,7165,0.494,[6620],"[{'match_index': 6620, 'win_rate_before': 0.55, 'win_rate_after': 0.325, 'shift': -0.225}]",2026-07-13T23:36:52.638806+00:00
174688437,class4_candidate_downward_shift,2198,0.507,[1785],"[{'match_index': 1785, 'win_rate_before': 0.7, 'win_rate_after': 0.275, 'shift': -0.425}]",2026-07-13T23:38:28.189638+00:00
249695700,class4_candidate_downward_shift,9573,0.504,"[5345, 5595]","[{'match_index': 5345, 'win_rate_before': 0.475, 'win_rate_after': 0.2, 'shift': -0.275}, {'match_index': 5595, 'win_rate_before': 0.25, 'win_rate_after': 0.5, 'shift': 0.25}]",2026-07-13T23:43:03.343414+00:00
154436181,class2_3_candidate_upward_shift,4632,0.506,"[4320, 4380]","[{'match_index': 4320, 'win_rate_before': 0.475, 'win_rate_after': 0.875, 'shift': 0.4}, {'match_index': 4380, 'win_rate_before': 0.925, 'win_rate_after': 0.45, 'shift': -0.475}]",2026-07-13T23:46:58.652925+00:00
178521512,class2_3_candidate_upward_shift,3229,0.522,"[1020, 1560, 2590, 2875]","[{'match_index': 1020, 'win_rate_before': 0.525, 'win_rate_after': 0.75, 'shift': 0.225}, {'match_index': 1560, 'win_rate_before': 0.675, 'win_rate_after': 0.35, 'shift': -0.325}, {'match_index': 2590, 'win_rate_before': 0.375, 'win_rate_after': 0.75, 'shift': 0.375}, {'match_index': 2875, 'win_rate_before': 0.75, 'win_rate_after': 0.475, 'shift': -0.275}]",2026-07-13T23:48:33.890708+00:00
25519564,class4_candidate_downward_shift,1524,0.503,[1340],"[{'match_index': 1340, 'win_rate_before': 0.5, 'win_rate_after': 0.4, 'shift': -0.1}]",2026-07-13T23:48:34.877037+00:00
128304636,class5_candidate_persistent_underperformance,116,0.405,[],[],2026-07-13T23:49:42.143821+00:00
1252232196,class4_candidate_downward_shift,200,0.51,[100],"[{'match_index': 100, 'win_rate_before': 0.675, 'win_rate_after': 0.3, 'shift': -0.375}]",2026-07-13T23:53:41.790593+00:00
253559451,class2_3_candidate_upward_shift,520,0.544,[375],"[{'match_index': 375, 'win_rate_before': 0.45, 'win_rate_after': 0.725, 'shift': 0.275}]",2026-07-13T23:54:40.421870+00:00
341739872,class2_3_candidate_upward_shift,2094,0.473,"[1050, 1130]","[{'match_index': 1050, 'win_rate_before': 0.425, 'win_rate_after': 0.775, 'shift': 0.35}, {'match_index': 1130, 'win_rate_before': 0.775, 'win_rate_after': 0.525, 'shift': -0.25}]",2026-07-13T23:54:53.908279+00:00
141519081,class2_3_candidate_upward_shift,255,0.596,[140],"[{'match_index': 140, 'win_rate_before': 0.45, 'win_rate_after': 0.8, 'shift': 0.35}]",2026-07-13T23:58:01.773865+00:00
256526468,class2_3_candidate_upward_shift,711,0.523,"[225, 350]","[{'match_index': 225, 'win_rate_before': 0.475, 'win_rate_after': 0.8, 'shift': 0.325}, {'match_index': 350, 'win_rate_before': 0.7, 'win_rate_after': 0.2, 'shift': -0.5}]",2026-07-14T00:06:35.427819+00:00
1077494695,class2_3_candidate_upward_shift,6720,0.494,"[3170, 3315]","[{'match_index': 3170, 'win_rate_before': 0.5, 'win_rate_after': 0.75, 'shift': 0.25}, {'match_index': 3315, 'win_rate_before': 0.65, 'win_rate_after': 0.4, 'shift': -0.25}]",2026-07-14T00:07:21.300945+00:00
443205943,class2_3_candidate_upward_shift,1036,0.487,[560],"[{'match_index': 560, 'win_rate_before': 0.35, 'win_rate_after': 0.625, 'shift': 0.275}]",2026-07-14T00:12:28.792813+00:00
867730923,class4_candidate_downward_shift,132,0.705,[85],"[{'match_index': 85, 'win_rate_before': 0.9, 'win_rate_after': 0.575, 'shift': -0.325}]",2026-07-14T00:13:21.668721+00:00
189269729,class4_candidate_downward_shift,200,0.68,[50],"[{'match_index': 50, 'win_rate_before': 0.85, 'win_rate_after': 0.6, 'shift': -0.25}]",2026-07-14T00:14:20.785101+00:00
80905203,class5_candidate_persistent_underperformance,143,0.434,[],[],2026-07-14T00:17:26.329962+00:00
276260170,class5_candidate_persistent_underperformance,661,0.449,[],[],2026-07-14T00:17:41.417174+00:00
162663448,class4_candidate_downward_shift,2977,0.483,"[260, 675]","[{'match_index': 260, 'win_rate_before': 0.625, 'win_rate_after': 0.375, 'shift': -0.25}, {'match_index': 675, 'win_rate_before': 0.325, 'win_rate_after': 0.625, 'shift': 0.3}]",2026-07-14T00:17:45.172335+00:00
849183249,class5_candidate_persistent_underperformance,128,0.43,[],[],2026-07-14T00:19:26.907346+00:00
142554861,class5_candidate_persistent_underperformance,188,0.426,[],[],2026-07-14T00:20:43.666083+00:00
51111991,class5_candidate_persistent_underperformance,186,0.403,[],[],2026-07-14T00:22:20.476184+00:00
